,ones,Mkt-RF,SMB,HML,MOM
6/1/05,1,0.57,3.19,2.79,2.06
7/1/05,1,3.92,2.75,-0.47,0.04
8/1/05,1,-1.22,-0.87,1.47,2.24
9/1/05,1,0.49,-0.35,1.11,3.5
10/1/05,1,-2.02,-1.3,-0.67,-1.31
11/1/05,1,3.61,0.83,-1.85,0.35
12/1/05,1,-0.25,-0.32,0.5,0.74
1/1/06,1,3.04,5.7,1.17,2.76
2/1/06,1,-0.3,-0.42,-0.85,-1.82
3/1/06,1,1.46,3.44,-0.14,1.24
4/1/06,1,0.73,-0.82,3.06,0.66
5/1/06,1,-3.57,-3.01,2.79,-3.7
6/1/06,1,-0.35,-0.38,1.49,1.49
7/1/06,1,-0.78,-3.64,3.42,-2.19
8/1/06,1,2.03,0.44,-1.78,-3.47
9/1/06,1,1.84,-1.35,-0.5,-0.93
10/1/06,1,3.23,1.87,0.52,-0.26
11/1/06,1,1.71,0.77,0.53,-1.03
12/1/06,1,0.87,-0.71,2.55,0.84
1/1/07,1,1.4,0.05,-0.05,0.24
2/1/07,1,-1.96,1.38,0.23,-1.33
3/1/07,1,0.68,-0.06,0.37,2.47
4/1/07,1,3.49,-2.02,-0.99,-0.16
5/1/07,1,3.24,0.24,-0.17,-0.27
6/1/07,1,-1.96,0.76,-1.03,0.3
7/1/07,1,-3.73,-2.97,-2.99,2.79
8/1/07,1,0.92,-0.3,-2.32,0.09
9/1/07,1,3.22,-2.46,-2.11,4.64
10/1/07,1,1.8,-0.02,-2.11,4.87
11/1/07,1,-4.83,-2.91,-1.02,0.9
12/1/07,1,-0.87,0.14,-0.01,6.54
1/1/08,1,-6.36,-0.47,3.05,-7.81
2/1/08,1,-3.09,-0.63,0.01,6.11
3/1/08,1,-0.93,0.65,0.24,4.08
4/1/08,1,4.6,-1.12,-0.03,-0.2
5/1/08,1,1.86,3.09,-0.41,3.22
6/1/08,1,-8.44,1.02,-1.02,12.45
7/1/08,1,-0.77,4.11,3.64,-5.2
8/1/08,1,1.53,3.42,1.61,-4.05
9/1/08,1,-9.24,0.6,4.36,0.33
10/1/08,1,-17.23,-3.11,-2.96,7.78
11/1/08,1,-7.86,-4.23,-5.02,7.22
12/1/08,1,1.74,3.57,-1.19,-5.05
1/1/09,1,-8.12,-2.35,-9.67,-1.92
2/1/09,1,-10.1,-1.4,-6.9,4.17
3/1/09,1,8.95,0.93,2.54,-11.53
4/1/09,1,10.19,6.75,5.22,-34.58
5/1/09,1,5.21,-2.35,0.58,-12.33
6/1/09,1,0.43,2.28,-2.39,5.31
7/1/09,1,7.72,2.56,4.73,-5.41
8/1/09,1,3.33,0.2,7.65,-8.9
9/1/09,1,4.08,2.68,1.35,-5
10/1/09,1,-2.59,-4.78,-4.35,2.64
11/1/09,1,5.56,-2.79,0.23,0.32
12/1/09,1,2.75,6.08,0.72,2.94
1/1/10,1,-3.36,0.25,0.61,-5.36
2/1/10,1,3.4,1.53,2.74,3.61
3/1/10,1,6.31,1.85,2.01,3.68
4/1/10,1,2,5.03,3.12,3.21
5/1/10,1,-7.89,-0.08,-2.32,-0.19
6/1/10,1,-5.56,-2.59,-4.27,-2.98
7/1/10,1,6.93,0.13,0.04,1.94
8/1/10,1,-4.77,-3.07,-1.51,-0.15
9/1/10,1,9.54,3.71,-2.94,1.36
10/1/10,1,3.88,0.72,-2.23,1.25
11/1/10,1,0.6,3.54,-0.58,2.51
12/1/10,1,6.82,1.03,3.47,-3.19
1/1/11,1,1.99,-2.38,0.68,-0.33
2/1/11,1,3.49,1.76,1.73,2.07
3/1/11,1,0.45,2.66,-1.16,3.55
4/1/11,1,2.9,-0.41,-2.15,0.07
5/1/11,1,-1.27,-0.69,-2.12,-0.59
6/1/11,1,-1.75,0.09,-0.26,1.75
7/1/11,1,-2.36,-1.38,-1.18,0.03
8/1/11,1,-5.99,-3.39,-1.58,-0.3
9/1/11,1,-7.59,-3.9,-0.98,-2.58
10/1/11,1,11.35,3.72,-0.96,-1.45
11/1/11,1,-0.28,-0.34,-0.18,3.98
12/1/11,1,0.74,-0.36,1.57,1.87
1/1/12,1,5.05,2.35,-2.14,-7.95
2/1/12,1,4.42,-1.54,0.01,-0.28
3/1/12,1,3.11,-0.3,-0.06,1.49
4/1/12,1,-0.85,-0.66,-0.2,3.84
5/1/12,1,-6.19,-0.2,0.08,6.64
6/1/12,1,3.89,0.99,0.54,-1.13
7/1/12,1,0.79,-2.74,0.01,3.06
8/1/12,1,2.55,0.61,0.6,-2.44
9/1/12,1,2.73,0.69,1.56,-1.03
10/1/12,1,-1.76,-0.8,4.16,0.12
11/1/12,1,0.78,0.41,-1.12,0.35
12/1/12,1,1.18,1.91,3.26,-2.92
1/1/13,1,5.57,0.57,1.34,-1.91
2/1/13,1,1.29,-0.35,0.28,1.37
3/1/13,1,4.03,0.9,-0.07,1.95
4/1/13,1,1.56,-2.32,0.35,0.28
5/1/13,1,2.8,2.27,1.33,-1.92
6/1/13,1,-1.2,1.33,-0.4,0.63
7/1/13,1,5.65,1.81,0.71,1.76
8/1/13,1,-2.71,-0.03,-2.48,0.05
9/1/13,1,3.77,2.72,-1.57,2.98
10/1/13,1,4.18,-1.57,1.36,0.14
11/1/13,1,3.12,1.47,-0.38,0.45
12/1/13,1,2.81,-0.44,-0.2,0.06
1/1/14,1,-3.32,0.56,-1.88,1.65
2/1/14,1,4.65,0.16,-0.49,2.09
3/1/14,1,0.43,-1.23,4.6,-3.25
4/1/14,1,-0.19,-4.21,1.62,-3.9
5/1/14,1,2.06,-1.83,-0.38,1.02
6/1/14,1,2.61,3.04,-0.6,0.7
7/1/14,1,-2.04,-4.16,0.04,-0.26
8/1/14,1,4.23,0.3,-0.76,0.77
9/1/14,1,-1.97,-3.8,-1.68,0.49
10/1/14,1,2.52,3.79,-1.81,0.07
11/1/14,1,2.55,-2.27,-3.37,1.02
12/1/14,1,-0.06,2.85,1.56,1.04
1/1/15,1,-3.11,-0.91,-3.06,3.76
2/1/15,1,6.13,0.35,-2.16,-2.88
3/1/15,1,-1.12,3.07,-0.73,3.02
4/1/15,1,0.59,-2.99,2.13,-7.41
5/1/15,1,1.36,0.85,-1.9,5.92
6/1/15,1,-1.53,2.88,-1.04,3.05
7/1/15,1,1.54,-4.5,-4.49,10.24
8/1/15,1,-6.04,0.38,2.88,-2.16
9/1/15,1,-3.07,-2.81,0.73,5.26
10/1/15,1,7.75,-2.05,-0.32,-3.92
11/1/15,1,0.56,3.35,-1.23,2.43
12/1/15,1,-2.17,-3,-2.07,3.38
1/1/16,1,-5.77,-3.56,3.13,1.38
