,ones,Mkt-RF,SMB,HML,MOM
1968-12-01,1,-3.94,3.6,0.02,0.11
1969-01-01,1,-1.25,-0.48,1.69,-0.15
1969-02-01,1,-5.84,-4.11,0.92,-2.45
1969-03-01,1,2.64,-0.41,-0.45,3.95
1969-04-01,1,1.46,-0.81,0.05,1.17
1969-05-01,1,-0.1,-0.18,0.74,1.68
1969-06-01,1,-7.18,-5.47,-1.1,-2.23
1969-07-01,1,-7.0,-3.37,1.42,1.64
1969-08-01,1,4.68,0.7,-3.85,2.13
1969-09-01,1,-2.98,1.31,-3.22,2.53
1969-10-01,1,5.06,3.87,-3.22,-4.33
1969-11-01,1,-3.79,-2.41,-1.11,3.6
1969-12-01,1,-2.63,-3.7,-3.08,5.04
1970-01-01,1,-8.1,3.09,3.07,0.63
1970-02-01,1,5.13,-2.57,4.02,0.12
1970-03-01,1,-1.06,-2.43,4.25,-0.29
1970-04-01,1,-11.0,-6.29,6.4,-0.73
1970-05-01,1,-6.92,-4.41,3.63,-2.69
1970-06-01,1,-5.79,-2.15,0.79,5.78
1970-07-01,1,6.93,-0.68,1.05,-2.94
1970-08-01,1,4.49,1.54,1.08,-6.5
1970-09-01,1,4.18,8.49,-5.5,-8.92
1970-10-01,1,-2.28,-4.47,0.21,9.61
1970-11-01,1,4.59,-4.01,1.69,2.88
1970-12-01,1,5.72,2.99,0.98,-2.21
1971-01-01,1,4.84,7.57,1.35,-6.59
1971-02-01,1,1.41,2.04,-1.34,0.81
1971-03-01,1,4.13,2.16,-3.99,-1.22
1971-04-01,1,3.15,-0.36,0.74,1.31
1971-05-01,1,-3.98,-1.18,-1.37,0.88
1971-06-01,1,-0.1,-1.45,-2.0,2.7
1971-07-01,1,-4.5,-1.4,0.17,-2.37
1971-08-01,1,3.79,-0.19,2.71,3.51
1971-09-01,1,-0.85,0.21,-2.94,2.09
1971-10-01,1,-4.42,-1.64,-0.47,0.46
1971-11-01,1,-0.46,-2.9,-1.74,1.47
1971-12-01,1,8.71,3.24,-0.3,-0.68
1972-01-01,1,2.49,6.31,2.03,0.24
1972-02-01,1,2.87,0.98,-2.76,2.7
1972-03-01,1,0.63,-0.48,-1.69,2.91
1972-04-01,1,0.29,0.14,0.22,2.9
1972-05-01,1,1.25,-3.14,-2.69,3.18
1972-06-01,1,-2.43,-0.36,-2.48,1.93
1972-07-01,1,-0.8,-2.74,0.77,2.75
1972-08-01,1,3.26,-3.53,4.68,-5.34
1972-09-01,1,-1.14,-2.27,0.49,1.75
1972-10-01,1,0.52,-2.51,1.32,0.75
1972-11-01,1,4.6,-0.55,4.78,-5.14
1972-12-01,1,0.62,-1.82,-2.29,4.98
1973-01-01,1,-3.29,-2.81,2.68,3.72
1973-02-01,1,-4.85,-4.03,1.68,2.12
1973-03-01,1,-1.29,-2.36,2.84,3.62
1973-04-01,1,-5.68,-3.01,5.66,6.4
1973-05-01,1,-2.94,-5.99,0.19,7.08
1973-06-01,1,-1.56,-2.55,1.43,4.31
1973-07-01,1,5.04,7.26,-5.18,-11.67
1973-08-01,1,-3.84,-1.77,1.19,3.42
1973-09-01,1,4.75,3.54,2.11,-7.02
1973-10-01,1,-0.86,-0.21,1.74,6.74
1973-11-01,1,-12.74,-7.3,4.01,8.63
1973-12-01,1,0.58,-4.63,4.24,10.38
1974-01-01,1,-0.17,10.51,5.86,-8.81
1974-02-01,1,-0.48,0.16,2.55,0.13
1974-03-01,1,-2.81,2.61,-0.09,-0.98
1974-04-01,1,-5.29,-0.63,1.01,2.0
1974-05-01,1,-4.67,-3.21,-2.07,-0.25
1974-06-01,1,-2.83,-0.01,0.77,2.38
1974-07-01,1,-8.05,1.99,5.22,3.02
1974-08-01,1,-9.35,0.31,2.57,3.0
1974-09-01,1,-11.77,1.46,5.52,4.32
1974-10-01,1,16.1,-6.85,-9.72,-0.49
1974-11-01,1,-4.51,-1.45,-0.08,2.17
1974-12-01,1,-3.44,-4.35,0.06,2.94
1975-01-01,1,13.66,12.8,8.22,-13.86
1975-02-01,1,5.56,-0.65,-4.53,-0.58
1975-03-01,1,2.66,4.0,2.43,-1.99
1975-04-01,1,4.23,-0.57,-1.16,1.33
1975-05-01,1,5.19,2.89,-4.07,-0.47
1975-06-01,1,4.82,1.31,1.3,0.05
1975-07-01,1,-6.59,3.42,1.65,0.43
1975-08-01,1,-2.85,-2.8,-0.89,-0.13
1975-09-01,1,-4.26,0.02,0.33,0.32
1975-10-01,1,5.31,-4.21,0.29,-0.14
1975-11-01,1,2.65,-1.07,2.0,-0.45
1975-12-01,1,-1.6,-0.04,1.77,-0.12
1976-01-01,1,12.16,6.34,8.6,4.46
1976-02-01,1,0.32,7.97,5.83,0.36
1976-03-01,1,2.33,-1.32,-0.03,0.19
1976-04-01,1,-1.49,0.12,-0.02,0.5
1976-05-01,1,-1.35,-1.13,-1.31,-1.11
1976-06-01,1,4.05,-1.14,0.72,-0.43
1976-07-01,1,-1.07,0.62,1.73,-0.11
1976-08-01,1,-0.56,-2.03,0.77,-0.85
1976-09-01,1,2.06,0.13,-0.28,0.24
1976-10-01,1,-2.42,0.14,-0.13,-0.48
1976-11-01,1,0.36,2.7,1.52,2.88
1976-12-01,1,5.65,3.62,2.23,0.78
1977-01-01,1,-4.05,5.92,4.27,3.97
1977-02-01,1,-1.95,1.12,0.49,0.38
1977-03-01,1,-1.37,1.31,1.04,0.48
1977-04-01,1,0.15,0.6,3.45,4.24
1977-05-01,1,-1.46,1.3,0.83,2.03
1977-06-01,1,4.71,2.08,-0.65,1.78
1977-07-01,1,-1.69,1.81,-0.61,0.31
1977-08-01,1,-1.75,0.88,-2.79,-1.78
1977-09-01,1,-0.27,1.54,-0.51,2.05
1977-10-01,1,-4.38,1.5,1.7,-0.12
1977-11-01,1,4.0,3.62,0.35,2.21
1977-12-01,1,0.27,1.62,-0.34,1.56
1978-01-01,1,-6.01,2.69,3.29,-0.72
1978-02-01,1,-1.38,3.66,0.8,1.91
1978-03-01,1,2.85,3.73,1.25,1.37
1978-04-01,1,7.88,-0.34,-3.49,0.84
1978-05-01,1,1.76,4.61,-0.6,2.85
1978-06-01,1,-1.69,1.6,0.58,2.78
1978-07-01,1,5.11,0.16,-1.1,4.23
1978-08-01,1,3.75,4.98,-0.47,2.85
1978-09-01,1,-1.43,-0.31,1.87,-3.13
1978-10-01,1,-11.91,-10.08,1.36,-8.38
1978-11-01,1,2.71,2.86,-2.21,5.52
1978-12-01,1,0.88,1.09,-2.18,3.05
1979-01-01,1,4.23,3.87,2.26,-1.27
1979-02-01,1,-3.56,0.54,1.18,-1.05
1979-03-01,1,5.68,3.18,-0.65,2.88
1979-04-01,1,-0.06,2.39,1.08,0.79
1979-05-01,1,-2.21,0.43,1.87,-0.24
1979-06-01,1,3.85,0.98,1.45,0.84
1979-07-01,1,0.82,1.24,1.71,-1.09
1979-08-01,1,5.53,1.94,-1.52,-0.25
1979-09-01,1,-0.82,-0.29,-0.9,5.32
1979-10-01,1,-8.1,-3.46,-1.85,2.15
1979-11-01,1,5.21,2.44,-3.27,7.95
1979-12-01,1,1.79,4.34,-1.99,4.77
1980-01-01,1,5.51,1.9,1.83,7.5
1980-02-01,1,-1.22,-1.61,0.61,7.86
1980-03-01,1,-12.9,-6.94,-1.06,-9.58
1980-04-01,1,3.97,0.99,1.05,-0.42
1980-05-01,1,5.26,2.12,0.39,-1.12
1980-06-01,1,3.06,1.48,-0.89,1.59
1980-07-01,1,6.49,3.95,-6.34,0.37
1980-08-01,1,1.8,4.25,-2.64,3.2
1980-09-01,1,2.19,0.58,-4.75,5.43
1980-10-01,1,1.06,2.36,-2.77,7.33
1980-11-01,1,9.59,-3.43,-8.44,15.24
1980-12-01,1,-4.52,-0.32,2.71,-6.65
1981-01-01,1,-5.04,3.36,6.82,-7.94
1981-02-01,1,0.56,-0.47,1.03,-1.39
1981-03-01,1,3.56,3.06,0.7,0.74
1981-04-01,1,-2.1,4.61,2.31,-0.96
1981-05-01,1,0.11,2.46,-0.41,3.75
1981-06-01,1,-2.36,-0.98,5.09,-5.91
1981-07-01,1,-1.54,-1.98,-0.6,-2.52
1981-08-01,1,-7.03,-1.82,4.83,-1.12
1981-09-01,1,-7.17,-2.51,5.18,1.98
1981-10-01,1,4.92,2.25,-4.2,4.08
1981-11-01,1,3.36,-1.36,1.91,-0.26
1981-12-01,1,-3.65,1.19,0.75,1.31
1982-01-01,1,-3.24,-1.2,3.13,1.73
1982-02-01,1,-5.86,0.33,6.04,5.0
1982-03-01,1,-1.87,0.0,3.81,2.93
1982-04-01,1,3.27,1.18,-2.79,-0.41
1982-05-01,1,-3.99,0.55,1.82,2.55
1982-06-01,1,-3.09,-0.52,1.55,4.99
1982-07-01,1,-3.19,0.95,0.18,4.47
1982-08-01,1,11.14,-4.29,1.16,-3.52
1982-09-01,1,1.29,2.59,0.33,4.17
1982-10-01,1,11.3,1.92,-3.69,0.03
1982-11-01,1,4.67,4.52,-1.93,5.89
1982-12-01,1,0.55,0.01,0.02,0.02
1983-01-01,1,3.6,3.27,-0.87,-1.7
1983-02-01,1,2.59,2.91,0.68,3.83
1983-03-01,1,2.82,1.41,2.05,0.93
1983-04-01,1,6.67,0.46,0.57,1.81
1983-05-01,1,0.52,6.22,-1.37,-1.59
1983-06-01,1,3.07,1.15,-3.87,1.78
1983-07-01,1,-4.07,0.97,5.59,-3.13
1983-08-01,1,-0.5,-4.33,5.51,-5.63
1983-09-01,1,0.92,0.24,1.07,-0.11
1983-10-01,1,-3.44,-3.82,5.02,-4.56
1983-11-01,1,2.16,1.89,-0.64,-0.08
1983-12-01,1,-1.78,-0.46,1.7,0.77
1984-01-01,1,-1.92,-0.07,7.61,-2.49
1984-02-01,1,-4.82,-1.61,3.31,0.19
1984-03-01,1,0.63,-0.29,0.49,1.1
1984-04-01,1,-0.52,-1.02,1.24,2.05
1984-05-01,1,-5.97,0.11,0.23,1.53
1984-06-01,1,1.82,0.09,-2.59,-0.7
1984-07-01,1,-2.74,-2.25,0.4,2.93
1984-08-01,1,10.28,-0.28,-1.79,-5.68
1984-09-01,1,-0.8,0.01,5.29,3.69
1984-10-01,1,-0.84,-1.44,0.48,3.22
1984-11-01,1,-1.76,-0.99,4.04,1.7
1984-12-01,1,1.84,-0.67,-0.14,1.53
1985-01-01,1,7.99,3.51,-5.38,-6.91
1985-02-01,1,1.22,0.99,-0.15,1.82
1985-03-01,1,-0.84,-1.49,4.07,1.68
1985-04-01,1,-0.96,-0.1,3.72,3.06
1985-05-01,1,5.09,-2.35,-0.87,4.0
1985-06-01,1,1.27,0.36,0.5,3.63
1985-07-01,1,-0.74,2.91,-1.65,-3.94
1985-08-01,1,-1.02,-0.31,2.32,1.82
1985-09-01,1,-4.54,-1.83,1.28,1.48
1985-10-01,1,4.02,-1.55,0.79,4.87
1985-11-01,1,6.48,0.01,-2.88,-0.41
1985-12-01,1,3.88,-0.39,-1.51,-0.13
1986-01-01,1,0.65,1.0,0.51,2.96
1986-02-01,1,7.13,-0.75,-0.89,2.77
1986-03-01,1,4.88,-0.55,-0.47,2.46
1986-04-01,1,-1.31,2.93,-2.84,-0.5
1986-05-01,1,4.62,-1.26,-0.12,2.02
1986-06-01,1,1.03,-0.89,1.37,5.15
1986-07-01,1,-6.45,-3.55,4.78,1.8
1986-08-01,1,6.07,-4.35,3.51,-5.01
1986-09-01,1,-8.6,1.96,3.18,-5.86
1986-10-01,1,4.66,-2.37,-1.44,2.69
1986-11-01,1,1.17,-1.92,-0.13,-0.32
1986-12-01,1,-3.27,0.07,0.3,0.4
1987-01-01,1,12.47,-1.5,-3.17,2.09
1987-02-01,1,4.39,3.41,-5.98,-2.17
1987-03-01,1,1.64,0.2,1.64,1.59
1987-04-01,1,-2.11,-1.55,-0.32,0.25
1987-05-01,1,0.11,-0.58,0.12,-0.69
1987-06-01,1,3.94,-2.29,1.06,-0.2
1987-07-01,1,3.85,-1.08,0.71,2.67
1987-08-01,1,3.52,-0.9,-0.93,-0.87
1987-09-01,1,-2.59,0.4,0.28,0.71
1987-10-01,1,-23.24,-8.14,4.23,-7.86
1987-11-01,1,-7.77,2.84,3.08,-1.15
1987-12-01,1,6.81,0.09,-4.45,5.84
1988-01-01,1,4.21,-0.56,5.17,-7.58
1988-02-01,1,4.75,3.34,-1.65,-1.54
1988-03-01,1,-2.27,6.24,0.75,0.63
1988-04-01,1,0.56,1.12,1.68,2.25
1988-05-01,1,-0.29,-2.6,2.28,0.64
1988-06-01,1,4.79,2.17,-1.11,-2.91
1988-07-01,1,-1.25,-0.16,2.27,0.63
1988-08-01,1,-3.31,0.01,2.08,0.33
1988-09-01,1,3.3,-1.31,-0.69,0.24
1988-10-01,1,1.15,-2.95,1.68,1.31
1988-11-01,1,-2.29,-1.66,1.27,0.42
1988-12-01,1,1.49,1.99,-1.55,0.42
1989-01-01,1,6.1,-2.22,0.53,-0.14
1989-02-01,1,-2.25,2.66,0.88,0.93
1989-03-01,1,1.57,0.75,0.48,3.54
1989-04-01,1,4.33,-0.69,-1.47,1.7
1989-05-01,1,3.35,0.0,-0.83,1.57
1989-06-01,1,-1.35,-1.07,2.16,0.66
1989-07-01,1,7.2,-4.05,-2.85,5.44
1989-08-01,1,1.44,0.44,0.75,-0.14
1989-09-01,1,-0.76,0.45,-1.31,3.41
1989-10-01,1,-3.67,-3.31,-1.07,1.37
1989-11-01,1,1.03,-1.33,-1.06,2.58
1989-12-01,1,1.16,-2.31,0.24,2.81
1990-01-01,1,-7.85,-1.37,0.83,-3.28
1990-02-01,1,1.11,1.17,0.65,-0.52
1990-03-01,1,1.83,1.62,-2.9,1.65
1990-04-01,1,-3.36,-0.41,-2.53,2.4
1990-05-01,1,8.42,-2.37,-3.77,3.05
1990-06-01,1,-1.09,1.37,-1.98,2.42
1990-07-01,1,-1.9,-3.29,-0.01,5.93
1990-08-01,1,-10.14,-3.88,1.63,1.79
1990-09-01,1,-6.12,-3.77,0.74,5.53
1990-10-01,1,-1.92,-5.11,0.29,6.74
1990-11-01,1,6.35,-0.06,-3.11,-5.6
1990-12-01,1,2.46,0.65,-1.56,0.16
1991-01-01,1,4.69,3.88,-1.84,-6.51
1991-02-01,1,7.19,3.93,-0.54,-4.72
1991-03-01,1,2.65,3.84,-1.24,2.81
1991-04-01,1,-0.28,0.35,1.4,-2.4
1991-05-01,1,3.64,0.17,-0.56,-0.1
1991-06-01,1,-4.94,0.15,1.21,0.46
1991-07-01,1,4.24,-0.95,-1.27,4.32
1991-08-01,1,2.32,1.48,-0.8,1.62
1991-09-01,1,-1.59,1.55,-0.98,1.73
1991-10-01,1,1.28,0.9,-0.44,3.21
1991-11-01,1,-4.19,-0.88,-1.91,1.27
1991-12-01,1,10.83,-2.39,-4.04,8.28
1992-01-01,1,-0.59,9.25,4.5,-2.46
1992-02-01,1,1.09,1.37,6.36,-0.59
1992-03-01,1,-2.65,-0.9,3.66,-0.36
1992-04-01,1,1.08,-5.73,4.28,-2.6
1992-05-01,1,0.3,0.21,1.27,0.1
1992-06-01,1,-2.34,-2.71,3.41,-0.6
1992-07-01,1,3.77,-0.63,-0.53,1.43
1992-08-01,1,-2.38,-0.41,-1.04,-0.52
1992-09-01,1,1.19,0.51,-0.21,1.43
1992-10-01,1,1.02,2.05,-2.1,2.71
1992-11-01,1,4.13,3.91,-1.48,-0.33
1992-12-01,1,1.53,1.63,2.51,4.47
1993-01-01,1,0.93,2.09,5.89,4.83
1993-02-01,1,0.13,-3.48,6.42,3.1
1993-03-01,1,2.3,0.05,1.24,3.74
1993-04-01,1,-3.05,-0.85,2.61,0.33
1993-05-01,1,2.88,1.87,-3.42,0.29
1993-06-01,1,0.31,0.11,2.61,4.58
1993-07-01,1,-0.34,0.9,3.24,3.24
1993-08-01,1,3.72,0.25,-0.44,2.58
1993-09-01,1,-0.12,3.07,-0.45,3.41
1993-10-01,1,1.41,1.6,-1.55,-2.67
1993-11-01,1,-1.89,-1.42,-0.26,-4.71
1993-12-01,1,1.65,1.37,0.57,2.29
1994-01-01,1,2.87,-0.17,2.09,0.01
1994-02-01,1,-2.56,2.63,-1.43,-0.29
1994-03-01,1,-4.78,-1.02,1.31,-1.32
1994-04-01,1,0.68,-1.06,1.66,0.41
1994-05-01,1,0.58,-2.45,0.18,-2.15
1994-06-01,1,-3.03,-0.53,1.68,-0.83
1994-07-01,1,2.82,-1.84,0.99,0.19
1994-08-01,1,4.01,1.35,-3.45,1.54
1994-09-01,1,-2.31,2.59,-1.78,1.32
1994-10-01,1,1.34,-2.27,-2.36,1.42
1994-11-01,1,-4.04,-0.06,-0.04,-0.2
1994-12-01,1,0.86,-0.02,0.28,3.5
1995-01-01,1,1.8,-2.89,1.66,-1.82
1995-02-01,1,3.63,-0.44,0.39,-0.35
1995-03-01,1,2.18,-0.57,-2.04,0.36
1995-04-01,1,2.11,-0.27,1.73,1.83
1995-05-01,1,2.9,-2.12,1.91,-0.44
1995-06-01,1,2.72,3.02,-2.97,2.89
1995-07-01,1,3.72,2.19,-2.24,2.54
1995-08-01,1,0.55,2.0,1.96,0.09
1995-09-01,1,3.35,-1.89,-0.93,2.71
1995-10-01,1,-1.52,-4.2,-0.06,4.12
1995-11-01,1,3.95,-0.98,0.32,-0.64
1995-12-01,1,1.03,0.56,1.4,2.53
1996-01-01,1,2.26,-2.48,0.39,0.57
1996-02-01,1,1.33,1.93,-2.32,0.58
1996-03-01,1,0.73,1.5,1.27,-1.88
1996-04-01,1,2.06,4.69,-4.06,-0.91
1996-05-01,1,2.36,3.21,-1.39,1.57
1996-06-01,1,-1.14,-3.67,1.92,1.0
1996-07-01,1,-5.97,-3.64,4.36,-0.11
1996-08-01,1,2.76,2.53,-0.58,-0.01
1996-09-01,1,5.02,-1.25,-3.75,2.69
1996-10-01,1,0.86,-3.83,4.79,3.92
1996-11-01,1,6.25,-3.62,0.15,-2.22
1996-12-01,1,-1.7,3.11,1.01,0.61
1997-01-01,1,4.99,-1.56,-2.36,1.95
1997-02-01,1,-0.49,-2.47,4.67,-2.04
1997-03-01,1,-5.03,-0.51,3.85,0.96
1997-04-01,1,4.04,-5.54,-1.03,4.92
1997-05-01,1,6.74,4.69,-4.37,-5.16
1997-06-01,1,4.1,1.32,0.76,2.62
1997-07-01,1,7.33,-2.71,-0.13,3.81
1997-08-01,1,-4.15,7.65,1.36,-2.55
1997-09-01,1,5.35,2.63,-0.22,1.44
1997-10-01,1,-3.8,-0.57,2.2,-0.39
1997-11-01,1,2.98,-5.22,0.98,0.3
1997-12-01,1,1.32,-2.07,3.82,3.97
1998-01-01,1,0.15,-1.32,-2.05,0.1
1998-02-01,1,7.03,0.17,-0.91,-1.13
1998-03-01,1,4.76,-0.72,1.25,2.15
1998-04-01,1,0.73,0.2,0.34,0.77
1998-05-01,1,-3.07,-3.1,4.13,1.87
1998-06-01,1,3.18,-3.64,-2.17,7.28
1998-07-01,1,-2.46,-5.27,-1.17,3.68
1998-08-01,1,-16.08,-5.5,5.17,1.9
1998-09-01,1,6.15,-0.95,-3.8,-0.71
1998-10-01,1,7.13,-3.34,-2.67,-5.36
1998-11-01,1,6.1,0.78,-3.52,1.16
1998-12-01,1,6.16,-1.55,-4.68,9.06
1999-01-01,1,3.5,-0.55,-5.6,3.05
1999-02-01,1,-4.08,-4.94,1.62,-0.13
1999-03-01,1,3.45,-4.13,-2.89,-1.29
1999-04-01,1,4.33,4.41,2.37,-9.08
1999-05-01,1,-2.46,3.76,2.67,-5.28
1999-06-01,1,4.77,2.49,-4.19,4.88
1999-07-01,1,-3.47,2.31,0.5,1.58
1999-08-01,1,-1.38,-1.81,-0.88,3.0
1999-09-01,1,-2.81,2.55,-2.99,6.45
1999-10-01,1,6.13,-6.98,-3.13,5.49
1999-11-01,1,3.37,6.29,-8.01,5.68
1999-12-01,1,7.72,5.79,-9.4,13.21
2000-01-01,1,-4.74,3.98,0.06,1.88
2000-02-01,1,2.45,19.18,-13.11,18.38
2000-03-01,1,5.2,-15.36,7.97,-6.8
2000-04-01,1,-6.4,-5.76,9.29,-8.52
2000-05-01,1,-4.42,-3.68,3.87,-9.06
2000-06-01,1,4.64,10.61,-10.18,16.5
2000-07-01,1,-2.51,-1.1,8.55,-0.12
2000-08-01,1,7.03,-1.06,-1.29,5.7
2000-09-01,1,-5.45,-0.01,6.82,2.15
2000-10-01,1,-2.76,-2.81,4.7,-4.63
2000-11-01,1,-10.72,-0.71,12.29,-2.44
2000-12-01,1,1.19,3.24,6.11,6.73
2001-01-01,1,3.13,6.16,-5.66,-25.01
2001-02-01,1,-10.05,2.39,13.91,12.48
2001-03-01,1,-7.26,2.31,6.22,8.38
2001-04-01,1,7.94,-0.76,-4.38,-8.12
2001-05-01,1,0.72,3.68,2.83,2.17
2001-06-01,1,-1.94,6.72,-2.28,0.34
2001-07-01,1,-2.13,-2.78,5.56,5.5
2001-08-01,1,-6.46,2.46,3.28,5.54
2001-09-01,1,-9.25,-5.87,1.82,11.55
2001-10-01,1,2.46,5.26,-7.15,-8.38
2001-11-01,1,7.54,0.14,0.69,-8.57
2001-12-01,1,1.61,5.21,0.47,-0.03
2002-01-01,1,-1.44,1.26,3.39,3.76
2002-02-01,1,-2.29,-0.89,3.89,6.79
2002-03-01,1,4.24,4.32,1.12,-1.64
2002-04-01,1,-5.2,6.47,4.21,7.98
2002-05-01,1,-1.38,-3.22,2.55,3.04
2002-06-01,1,-7.21,3.43,1.5,6.14
2002-07-01,1,-8.18,-6.23,-3.62,3.38
2002-08-01,1,0.5,-1.21,2.29,1.75
2002-09-01,1,-10.35,3.07,1.31,9.15
2002-10-01,1,7.84,-4.08,-6.45,-5.46
2002-11-01,1,5.96,3.2,-1.59,-16.28
2002-12-01,1,-5.76,0.26,3.88,9.62
2003-01-01,1,-2.57,0.85,-0.82,1.58
2003-02-01,1,-1.88,-0.86,-1.45,1.25
2003-03-01,1,1.09,0.55,-1.58,1.52
2003-04-01,1,8.22,1.31,-0.09,-9.42
2003-05-01,1,6.05,4.96,0.09,-10.76
2003-06-01,1,1.42,1.62,0.71,-1.02
2003-07-01,1,2.35,5.05,-2.04,-0.29
2003-08-01,1,2.34,2.6,1.76,-0.54
2003-09-01,1,-1.24,0.46,0.93,-0.19
2003-10-01,1,6.08,2.78,1.69,3.75
2003-11-01,1,1.35,2.36,1.39,1.63
2003-12-01,1,4.29,-2.68,2.78,-5.69
2004-01-01,1,2.15,2.5,1.66,2.59
2004-02-01,1,1.4,-0.86,0.44,-1.1
2004-03-01,1,-1.32,2.15,-0.05,0.2
2004-04-01,1,-1.83,-2.48,-1.67,-5.36
2004-05-01,1,1.17,-0.36,-0.26,1.65
2004-06-01,1,1.86,2.56,1.63,2.07
2004-07-01,1,-4.06,-3.09,4.56,-2.3
2004-08-01,1,0.08,-1.23,1.24,-1.5
2004-09-01,1,1.6,3.26,0.47,5.26
2004-10-01,1,1.43,0.29,-0.82,-1.49
2004-11-01,1,4.54,4.21,1.94,3.22
2004-12-01,1,3.43,0.08,-0.37,-2.83
2005-01-01,1,-2.76,-1.2,2.73,3.12
2005-02-01,1,1.89,-0.39,2.84,3.21
2005-03-01,1,-1.97,-1.42,1.7,0.54
2005-04-01,1,-2.61,-4.02,-0.45,-0.81
2005-05-01,1,3.65,2.77,-1.21,0.39
2005-06-01,1,0.57,3.19,2.79,2.06
2005-07-01,1,3.92,2.75,-0.47,0.04
2005-08-01,1,-1.22,-0.87,1.47,2.24
2005-09-01,1,0.49,-0.35,1.11,3.5
2005-10-01,1,-2.02,-1.3,-0.67,-1.31
2005-11-01,1,3.61,0.83,-1.85,0.35
2005-12-01,1,-0.25,-0.32,0.5,0.74
2006-01-01,1,3.04,5.7,1.17,2.76
2006-02-01,1,-0.3,-0.42,-0.85,-1.82
2006-03-01,1,1.46,3.44,-0.14,1.24
2006-04-01,1,0.73,-0.82,3.06,0.66
2006-05-01,1,-3.57,-3.01,2.79,-3.7
2006-06-01,1,-0.35,-0.38,1.49,1.49
2006-07-01,1,-0.78,-3.64,3.42,-2.19
2006-08-01,1,2.03,0.44,-1.78,-3.47
2006-09-01,1,1.84,-1.35,-0.5,-0.93
2006-10-01,1,3.23,1.87,0.52,-0.26
2006-11-01,1,1.71,0.77,0.53,-1.03
2006-12-01,1,0.87,-0.71,2.55,0.84
2007-01-01,1,1.4,0.05,-0.05,0.24
